P:Project Key (Charge Code or PACE ID),P:PTN Number,S:FA Number,S:USID,S:Site Name,P:PACE Job Number,S:Address Line 1,S:Address Line 2,S:City,S:State,S:ZIP,S:Latitude,S:Longitude
521517-S00062,3551A0Y61B,10087041,15977.00,LAGUNA NIGUEL,MRLOS078162,29828 GOLDEN LANTERN,,LAGUNA NIGUEL,CA,92677,33.52944440,-117.68388890
521517-S00453,3551A0Y5PZ,10086956,27389.00,LAKE FOREST AND JERONIMO,MRLOS078615,24752 TOLEDO WAY,,LAKE FOREST,CA,92630,33.64272220,-117.69913890
521517-S00415,3551A0Y63W,10086866,15429.00,LANG RANCH,MRLOS078498,2040 ERBES ROAD,,THOUSAND OAKS,CA,91362,34.20583330,-118.83550000
507406-7642,3551A0T3TE,10094636,43329.00,LEONA VALLEY,MRLOS070582,39845 86TH WEST,,PALMDALE,CA,93551,34.60656000,-118.28169000
521517-S00562,3551A0Y6B4,10085853,12057.00,LOMITA AND NARBONNE,MRLOS078560,24300 NARBONNE AVENUE,,LOMITA,CA,90717,33.80472220,-118.31913890
521517-S00528,3551A0Y5R5,10086050,11858.00,Laurel Canyon/101 OVLY C545,MRLOS078253,4705 Laurel Canyon Blvd,,VALLEY VILLAGE,CA,91607,34.15608330,-118.39694440
521517-S00511,3551A0W29L,10087280,26368.00,MAGIC MTN / VALENCIA,MRLOS078748,24200 MAGIC MOUNTAIN PARKWAY,,SANTA CLARITA,CA,91355,34.41833330,-118.55861110
521517-S00281,3551A0Y5WL,10086572,24267.00,MAGNOLIA AND LINCOLN,MRLOS078707,2870 RAGLE WAY,,CORONA,CA,92879,33.88972220,-117.50805560
521517-S00243,3551A0Y6V4,10087278,26362.00,MAIN / GRANADA,MRLOS078517,500 EAST MAIN STREET,,ALHAMBRA,CA,91801,34.09722220,-118.12166670
521517-S00303,3551A0Y68F,10085943,11986.00,MANHATTAN BEACH,MRLOS078685,11222 LA CIENEGA,,INGLEWOOD,CA,90304,33.93138890,-118.36888890
521517-S00182,3551A0Y6AS,10115939,27404.00,MERCED AND BIG DALTON,MRLOS078249,3649 BALDWIN PARK BOULEVARD,,BALDWIN PARK,CA,91706,34.07886110,-117.97025000
507406-7857,3551A0T41W,10115928,12411.00,MERRIL & SIERRA RELO,MRLOS070550,16702 CERES AVENUE,,FONTANA,CA,92335,34.09472000,-117.43806000
521517-S00318,3551A0Y610,10086719,16453.00,MT SAN ANTONIO COLLEGE,MRLOS078336,1100 NORTH GRAND AVENUE,,WALNUT,CA,91789,34.04666670,-117.84722220
521517-S00628,3551A0Y5ZB,10086829,13762.00,Ming and Gosford,MRLOS078482,8201 Camino Media,,Bakersfield,CA,93311,35.34027780,-119.09611110
521517-S00503,3551A0W299,10087223,36501.00,N CENTRAL and SALEM,MRLOS078741,229 CENTRAL AVENUE,,GLENDALE,CA,91202,34.14888890,-118.25833330
521517-S00606,3551A0Y6HK,10087225,36503.00,N FIGUEROA & MERIDIAN,MRLOS078444,5753 HUNTINGTON DRIVE,,Highland park,CA,90032,34.12122000,-118.18414000
507406-6946,3551A0T44J,10086429,16589.00,N RANCHO CUCAMO OVLY,MRLOS070377,"9944 HIGHLAND AVENUE,",,RANCHO CUCAMONGA,CA,91737,34.13639000,-117.58750000
521517-S00251,3551A0Y5XS,10087304,25717.00,N SUNFLOWER and E ARROW,MRLOS078549,21008 EAST ARROW HIGHWAY,,COVINA,CA,91724,34.10611110,-117.84611110
521517-S00538,3551A0Y5SY,10085714,11938.00,NATIONAL MOTOR,MRLOS078346,10321 NATIONAL BOULEVARD,,LOS ANGELES,CA,90034,34.02983310,-118.40994280
521517-S00425,3551A0Y6RM,10087408,50878.00,NEW STUDIO ALBAIN,MRLOS078661,16829 Saticoy,,VAN NUYS,CA,91406,34.20927780,-118.50048610
521517-S00294,3551A0Y6H0,10068750,51787.00,NL-068-01(LA-670) STEVENSON BLDG,MRLOS078270,1031 NORTH BRAND BOULEVARD,,GLENDALE,CA,91202,34.16117500,-118.25546670
521517-S00085,3551A0Y6ST,10068746,51177.00,NL0062 (ORANGE LA640) DOCTORS MEDICAL PLAZA,MRLOS078262,10515 BALBOA BOULEVARD,,GRANADA HILLS,CA,91344,34.26200000,-118.50261110
521517-S00334,3551A0Y5XT,10068713,51660.00,NL0117 (ORANGE VY090) PALLARES PROPERTY,MRLOS078247,1416 WEST KENNETH ROAD,,GLENDALE,CA,91201,34.17255560,-118.28027780
521517-S00579,3551A0Y61M,10112070,104246.00,NL0148-03 DATA GRAPHICS,MRLOS078703,6829 Lankersheim Blvd,,NORTH HOLLYWOOD,CA,91605,34.19435280,-118.38803890
521517-S00108,3551A0Y6DP,10103968,83938.00,NL0170-01 O'NEAL AZONIC,MRLOS078437,9600 TOPANGA CANYON,,CHATSWORTH,CA,91311,34.24481940,-118.60615280
